▼ Transcription of s-jozawa.mp3
[09:06 --> 09:09]: 大丈夫です大丈夫です
[09:09 --> 09:11]: はい
[09:11 --> 09:12]: でいいのかな
[09:12 --> 09:13]: はい
[09:14 --> 09:15]: 取ってます
[09:15 --> 09:16]: はい
[09:16 --> 09:17]: はいエクスポートする
[09:23 --> 09:28]: はい
[09:28 --> 09:33]: 3DプリンターのUSBメモリーの保存先をして
[09:33 --> 09:38]: え?
[09:38 --> 09:41]: 1つのボタンを押すんですけど
[09:41 --> 09:45]: どこに保存すればいい?
[09:45 --> 09:48]: そのこいつに保存して
[09:48 --> 09:51]: こいつに保存したらこっちに挿していけるので
[09:51 --> 09:52]: あ
[09:52 --> 09:53]: こいつに保存していい
[09:53 --> 09:54]: なるほど
[09:54 --> 09:55]: ここだ
[09:55 --> 09:57]: そうです
[09:57 --> 09:58]: 取ってnew
[09:58 --> 10:00]: 名前変えなくていい?別に
[10:00 --> 10:02]: 大丈夫です
[10:02 --> 10:03]: 保存で
[10:03 --> 10:05]: はい
[10:05 --> 10:06]: いいの?
[10:06 --> 10:07]: 大丈夫です
[10:07 --> 10:13]: 保存して marc
[10:13 --> 10:36]:  Khan
[10:37 --> 10:53]: プリントのディスプレイの印刷を押します
[10:53 --> 10:57]: 印刷
[10:57 --> 11:02]: プリントを行う自分のモデルを選択します
[11:02 --> 11:04]: 取って
[11:04 --> 11:05]: ニュー
[11:05 --> 11:05]: これだね
[11:07 --> 11:12]: はい
[11:12 --> 11:13]: いいですか
[11:13 --> 11:14]: 間違いがないか確認してください
[11:14 --> 11:15]: はい
[11:15 --> 11:18]: で印刷をその上にちょっと一個あるんですけど
[11:18 --> 11:19]: ここ開けてもらって
[11:19 --> 11:25]: 前の人が印刷した後にこういうカスみたいのが残ってたら
[11:25 --> 11:29]: これ今回印刷する時にちょっとよろしくないので
[11:29 --> 11:33]: ここ確認してもらってこの上にカスないかとか
[11:33 --> 11:37]: この蝶々あったらちょっと取って
[11:37 --> 11:37]: うん
[11:37 --> 11:37]: がっつり
[11:37 --> 11:39]: これぐらいなら多分大丈夫です
[11:39 --> 11:41]: あこれぐらいならいいね
[11:41 --> 11:42]: OKはい
[11:42 --> 11:45]: それを確認してもらってから印刷してもらって
[11:45 --> 11:46]: はい
[11:46 --> 11:47]: こんな感じで
[11:47 --> 11:48]: OKです
[11:51 --> 11:52]: 印刷します
[11:52 --> 11:53]: はい
[11:57 --> 11:58]: うん
[12:01 --> 12:02]: 加熱中
[12:02 --> 12:04]: これで下の
[12:04 --> 12:05]: 下の温度を今上げてますね
[12:05 --> 12:06]: これで下の温度を今上げてますね
[12:08 --> 12:11]: っていう作業を今してこれぐらい
[12:11 --> 12:14]: ちゃんと上がったらこの印刷が開始されるってこと
[12:14 --> 12:15]: うん
[12:15 --> 12:19]: 温度を上げてるってことです
[12:19 --> 12:20]: てな感じです
[12:20 --> 12:22]: 普通に開けちゃってたけどいいの今
[12:22 --> 12:23]: 大丈夫です
[12:23 --> 12:25]: いいんだ
[12:25 --> 12:26]: はい
[12:26 --> 12:28]: これはもうOK
[12:28 --> 12:30]: OK
[12:30 --> 12:32]: パソコンは
[12:32 --> 12:33]: 落としちゃって大丈夫です
[12:33 --> 12:35]: あもう落としちゃっていい
[12:35 --> 12:36]: バツ
[12:36 --> 12:36]: はい
[12:36 --> 12:38]:  to
[12:38 --> 12:43]: 保存しなくていい
[12:43 --> 12:56]: はい
[12:56 --> 12:57]: うん
[12:57 --> 12:58]: unk
[12:58 --> 13:02]:  bigger
[13:02 --> 13:02]: 。
[13:02 --> 13:04]: 一
[13:04 --> 13:05]: 百
[13:05 --> 13:05]: 。
[13:05 --> 13:05]: うん
[13:05 --> 13:06]: さん
[13:06 --> 13:06]: 4
[13:06 --> 13:11]: 使ったら書くんだ
[13:36 --> 13:43]: 2日?
[13:43 --> 13:45]: 2日です
[13:45 --> 13:53]: 3,4,5,見てなかったね
[13:53 --> 13:58]: 終了時間25時くらいじゃないですか?
[13:58 --> 14:00]: 間違えた
[14:00 --> 14:05]: 終了時間は40分終了、2時過ぎくらいじゃないですかね
[14:05 --> 14:06]: 14時…
[14:06 --> 14:08]: 2時10分くらい
[14:08 --> 14:10]: このくらいの時間で
[14:10 --> 14:11]: はい
[14:11 --> 14:12]: こちらを移ると思うんですけど
[14:12 --> 14:14]: はい
[14:14 --> 14:15]: あ、すみません
[14:15 --> 14:16]: これで
[14:16 --> 14:17]: はい
[14:17 --> 14:20]: じゃあ次、ウェザーカッターの方に移ります
[14:20 --> 14:23]: これ持って、持ってもらって
[14:23 --> 14:24]: あ、これを使うんだ
[14:24 --> 14:27]: あと、板を
[14:27 --> 14:28]: 板
[14:28 --> 14:29]: はい
[14:30 --> 14:35]: OK
[14:36 --> 14:38]: 覆ってます?
[14:38 --> 14:42]: うーん、一人じゃ無理
[14:42 --> 14:44]: うん、じゃあ、まあ、ついてるんで
[14:46 --> 14:47]: なんか押すんだよね
[14:47 --> 14:48]: そうです
[14:48 --> 14:50]: そこまだかな
[14:50 --> 14:51]: まだ?
[14:51 --> 14:53]: はい、先に
[14:57 --> 15:00]: で、これは本来ここで点けるんですけど
[15:00 --> 15:04]: 多分実験するには、自信が出てるんでデータトレーニングはちょっとうるさいんで
[15:04 --> 15:05]: うん
[15:05 --> 15:07]: タイミングで付けます
[15:07 --> 15:08]: OK
[15:08 --> 15:09]: いかができますか?
[15:09 --> 15:10]: はい
[15:11 --> 15:13]: どっちでもいいか?
[15:13 --> 15:15]: はい、どっちでもいいです
[15:15 --> 15:17]: ちょっといいか、僕も邪魔になります
[15:17 --> 15:18]: ありがとう
[15:18 --> 15:21]: じゃあ、やりますか
[15:35 --> 15:57]: これだよね?
[15:57 --> 15:59]: そうです
[15:59 --> 16:02]: できる限り自分もちょっと頑張ってもらって
[16:02 --> 16:03]: そんな感じなんだ
[16:03 --> 16:04]: いやでも何かあったら僕すぐこれやってもらって
[16:04 --> 16:05]: そうです
[16:05 --> 16:07]: 僕もこれやってないですって言うので
[16:07 --> 16:11]: OK
[16:11 --> 16:15]: はい
[16:15 --> 16:18]: あれだよね、データをポンって
[16:18 --> 16:28]: うん
[16:28 --> 16:32]: えーと、こっち
[16:32 --> 16:34]: 木箱
[16:34 --> 16:36]: うん?
[16:36 --> 16:37]: 違う、こっちか?
[16:37 --> 16:38]: うん
[16:38 --> 16:39]: これだ
[16:39 --> 16:40]: ドラッグ&ドロップだっけ?
[16:40 --> 16:41]: そのまま開く?
[16:41 --> 16:44]: 問題はファイルから、ファイルを押してですね
[16:44 --> 16:46]: ドラッグ&ドロップできるのかな?
[16:46 --> 16:48]: やってみる
[16:48 --> 16:50]: あ、できた
[16:50 --> 16:52]: それでは、やります
[16:52 --> 16:53]: はい
[17:04 --> 17:05]: OK
[17:05 --> 17:06]: これで良かった
[17:06 --> 17:07]: うん
[17:07 --> 17:31]: それでは Cheryl
[17:31 --> 17:33]: どこでもそこでも大丈夫です
[17:33 --> 17:35]: なるべくこの辺りは
[17:35 --> 17:37]: はい
[17:37 --> 17:40]: ちょっとここから押してもらっていいですか
[17:40 --> 17:44]: じゃあ一応なんですけど
[17:44 --> 17:48]: カラーを確認してもらいたくて
[17:48 --> 17:51]: 赤の線を押してもらっていいですか
[17:51 --> 17:52]: 赤が切るところね
[17:52 --> 17:53]: そうですそうです
[17:53 --> 17:55]: それ今押しましたよね
[17:55 --> 17:56]: 押した
[17:56 --> 17:57]: ん?
[17:57 --> 17:58]: 押した
[17:58 --> 18:00]: なんかここにあれ?
[18:01 --> 18:03]: そう、もっと近づいて
[18:03 --> 18:08]: え?ちょっともう一回違うところやって
[18:08 --> 18:10]: もう一回押してほしい
[18:13 --> 18:15]: ん?
[18:15 --> 18:18]: あれ?いいですかちょっと
[18:20 --> 18:22]: なんかこの極彩線
[18:22 --> 18:27]: ちゃんと赤で極彩線になってるかどうかの確認をしたいんですけど
[18:27 --> 18:29]: あーそうです
[18:31 --> 18:35]: あれ?
[18:43 --> 18:45]: もうちょっとはい大丈夫です
[18:45 --> 18:46]: 本当か
[18:46 --> 18:49]: 大丈夫大丈夫多分赤で青で黒なんで
[18:49 --> 18:50]: じゃあはい
[18:50 --> 18:57]: で、これ全体を選択してもらって
[18:57 --> 18:59]: よいしょ
[19:01 --> 19:02]: はい
[19:02 --> 19:07]: 覚えてます?
[19:07 --> 19:09]: 覚えてないです
[19:09 --> 19:14]: これファイルで
[19:14 --> 19:15]: ファイル?
[19:15 --> 19:16]: そうです
[19:16 --> 19:17]: 印刷?
[19:17 --> 19:18]: はい
[19:18 --> 19:19]: 今違うんですよ
[19:19 --> 19:20]: はい本当に
[19:20 --> 19:21]: ただ
[19:21 --> 19:23]: そうです印刷
[19:23 --> 19:25]: はい、印刷
[19:25 --> 19:26]: はい
[19:27 --> 19:28]: 
[19:57 --> 20:04]: どこに?あ、これか
[20:04 --> 20:07]: そうですね、前の人がMDF切ったんで
[20:07 --> 20:09]: 本来は
[20:09 --> 20:13]: ナチュラルウッドMDFね
[20:13 --> 20:14]: そうです
[20:14 --> 20:20]: ナチュラルウッドMDF
[20:20 --> 20:23]: なんかここら辺もいじんないよね
[20:23 --> 20:25]: ここなんかやるっけ?
[20:25 --> 20:32]: ここ?5.5?でいいのか?
[20:32 --> 20:33]: いい、合ってます
[20:33 --> 20:36]: あとなんかやることはあったっけ?
[20:36 --> 20:38]: この画面では一旦ないので
[20:38 --> 20:39]: アプライ?
[20:39 --> 20:42]: そうです
[20:42 --> 20:45]: OK、うん?キャンセル?セーブ?
[20:45 --> 20:47]: まだやることがあります
[20:47 --> 20:49]: まだやることがあった?
[20:49 --> 20:51]: こっちのボタン押してもらって
[20:51 --> 20:53]: はい
[20:53 --> 20:55]: 今回切るのが
[20:55 --> 20:58]: 黒と赤と青なんですけど
[20:58 --> 21:02]: ここで
[21:02 --> 21:04]: これが大事
[21:04 --> 21:06]: ほほっ
[21:06 --> 21:08]: これは
[21:08 --> 21:14]: 素材ごとの赤色はパワーなんぼでスピードなんぼでっていうのが全部書いてる
[21:14 --> 21:18]: これでMDFっていうの探してもらって
[21:18 --> 21:22]: はい、え?これちょっと初めて
[21:22 --> 21:25]: MDF?アクリル?
[21:25 --> 21:36]: MDF、ダイソー、なんか色々ある、これか
[21:36 --> 21:38]: うんうんうん
[21:38 --> 21:39]: はい
[21:39 --> 21:47]: それぞれ、赤はこれに設定して、黒はこれに設定して、青はこれに設定してっていうのをやってほしい
[21:47 --> 21:49]: はい
[21:49 --> 21:52]: これは
[21:52 --> 21:53]: はい
[21:54 --> 21:57]: どこで設定すればいいの?これ?
[21:57 --> 21:59]: これでいいのか?
[21:59 --> 22:01]: あ、そういうことね
[22:01 --> 22:14]: ブラックのパワーが85.7、スピード100、PPI500、切断85、15、250
[22:14 --> 22:16]: パワーがこれか?
[22:16 --> 22:18]: これか?
[22:18 --> 22:21]: これのパワーを
[22:22 --> 22:26]: 8、85ようにする
[22:33 --> 22:39]: はい、スピード14
[22:39 --> 22:42]: あ、やべ、やべ
[22:42 --> 22:48]: スピード14,PPAが250
[22:48 --> 22:50]: うん、うんいんだ
[22:50 --> 22:51]: いいんだ?いいんだな?
[22:51 --> 22:53]: ちょっといい?
[22:53 --> 22:55]: ちょっといいです
[22:55 --> 22:58]: 多分今上の方やりませんでした?
[22:58 --> 23:00]: スピード14にします
[23:00 --> 23:01]: 本当だ
[23:01 --> 23:02]: もう一回やりましょう
[23:02 --> 23:03]: 本当だ
[23:03 --> 23:05]: 数字ここじゃなくてこっちでも行けますかね
[23:05 --> 23:06]: 直接
[23:06 --> 23:07]: 本当に?
[23:07 --> 23:08]: 打ち込みでも行けます
[23:08 --> 23:10]: ここ選択するとそうです
[23:13 --> 23:15]: 間違えた
[23:15 --> 23:21]: 15
[23:21 --> 23:23]: 85?15?
[23:23 --> 23:24]: 250?
[23:24 --> 23:25]: OK
[23:25 --> 23:28]: それが青い部分
[23:28 --> 23:29]: 20
[23:29 --> 23:31]: 48
[23:31 --> 23:33]: これやだだからいいんだ
[23:33 --> 23:35]: これで
[23:35 --> 23:36]: はい
[23:36 --> 23:37]: OKです
[23:37 --> 23:38]: アプライ?
[23:38 --> 23:39]: うん
[23:39 --> 23:41]: はい
[23:41 --> 23:43]: OKですか?
[23:43 --> 23:44]: そうです
[23:44 --> 23:45]: これは
[23:45 --> 23:46]: OKで押せばいいんですか?
[23:46 --> 23:48]: OKです
[23:48 --> 23:49]: はい
[23:50 --> 23:52]: でどうするんですか?
[23:52 --> 23:54]: これを
[23:54 --> 23:56]: 適用して印刷で
[23:56 --> 23:58]: 適用して
[23:58 --> 23:59]: うん
[23:59 --> 24:00]: 印刷
[24:00 --> 24:01]: うん
[24:01 --> 24:03]: リールを設定して今データを入れるんですか?
[24:03 --> 24:04]: うん
[24:04 --> 24:06]: そのデータが
[24:06 --> 24:08]: こっちに直接送られるんじゃなくて
[24:08 --> 24:11]: 一回このソフトウェアあるんですけど
[24:11 --> 24:13]: これを設定するソフトウェアあるんですけど
[24:13 --> 24:14]: そこのソフトウェアに一回飛ばされるんですか?
[24:14 --> 24:16]: そこのソフトウェアに一回飛ばされて
[24:16 --> 24:19]: そこで色を設定してってやるとやってきます
[24:19 --> 24:21]: それが何か覚えてます?
[24:21 --> 24:24]: ここから何開くか
[24:24 --> 24:32]: ちょっとこっちないです
[24:32 --> 24:35]: あ、あれ?
[24:35 --> 24:37]: いやまだあの赤いやつ
[24:37 --> 24:39]: タスクバーのところじゃないですか?
[24:39 --> 24:41]: タスクバーの三角
[24:41 --> 24:42]: それから
[24:42 --> 24:43]: タスクバー?
[24:43 --> 24:44]: タスクバー
[24:44 --> 24:45]: PCで
[24:45 --> 24:49]: タスクバー
[24:49 --> 24:52]: あ、はいはいはい
[24:52 --> 24:54]: 赤いの
[24:54 --> 24:55]: 青
[24:55 --> 24:56]: これ画面
[24:56 --> 24:58]: これ多分見たことあるんですよね
[24:58 --> 24:59]: やったね
[24:59 --> 25:03]: で、ここまでいったら行きましょう
[25:03 --> 25:04]: はい
[25:04 --> 25:06]: 電源を入れましょう
[25:06 --> 25:08]: 電源を入れるときで
[25:08 --> 25:10]: はい、電源入れていきます
[25:10 --> 25:12]: トランスの2体の電源
[25:12 --> 25:15]: 白いスイッチをオンにします
[25:15 --> 25:20]: はい
[25:20 --> 25:24]: レーザーカッター本体の電源をオン
[25:24 --> 25:30]: はい
[25:30 --> 25:33]: エアコンプレッサー
[25:33 --> 25:39]: はい
[25:39 --> 25:43]: 主人旗、主人旗、それか
[25:43 --> 25:52]: はい
[25:53 --> 25:56]: OK
[25:56 --> 25:57]: で
[25:57 --> 26:02]: あ、ちょっと覚えてない
[26:02 --> 26:06]: で、えっと、まず
[26:06 --> 26:07]: まあ
[26:07 --> 26:11]: ポイントはここにあるじゃないですか
[26:11 --> 26:13]: うん、なんかこれでやるんだよね
[26:13 --> 26:14]: そうですそうです
[26:14 --> 26:17]: でも大事なものが無くないですね
[26:17 --> 26:21]: 大事なものは無い
[26:21 --> 26:24]: 大事なものが、今から切り出すのが何か
[26:24 --> 26:25]: あれ?
[26:25 --> 26:27]: え、これもうセットしちゃっていいんだっけ?
[26:27 --> 26:28]: 大丈夫
[26:28 --> 26:30]: これは
[26:30 --> 26:31]: どっちがどっちとかある?
[26:31 --> 26:34]: 多分こっち裏じゃない、裏だと思う
[26:34 --> 26:35]: 裏?
[26:35 --> 26:42]: はい
[26:42 --> 26:43]: こっち側で
[26:43 --> 26:44]: こっち側?
[26:44 --> 26:45]: うん
[26:45 --> 26:52]: 裏であの、ここを使わない方がいいんで、こっち側から使えば
[26:52 --> 26:54]: あー、こっち側
[26:54 --> 26:59]: こっち側
[27:00 --> 27:02]: こっちに寄せていいんだ
[27:02 --> 27:03]: 大丈夫
[27:03 --> 27:04]: いいんだ
[27:04 --> 27:05]: 大丈夫
[27:05 --> 27:15]: で、高さを、この高さをこの仰せるやりたいっていうんですけど
[27:15 --> 27:18]: なんか適当に押したら動くんだっけ?
[27:18 --> 27:21]: それじゃなくて、ここZ見てほしいんですよ
[27:21 --> 27:22]: Z
[27:22 --> 27:24]: まあ、5.5じゃないと
[27:24 --> 27:25]: うん
[27:25 --> 27:32]: これ、元多分、1とかなったりするんで、素材の方は下に合わせて、ここを5.5にして
[27:32 --> 27:34]: 今回、MDU5.5じゃないと
[27:34 --> 27:39]: 下から、5.5にして、高さ合わせ終わりました
[27:39 --> 27:44]: 本来こうやっていじって、高さを変える
[27:44 --> 27:45]: あー
[27:45 --> 27:49]: 5.5にして、できました
[27:49 --> 27:51]: じゃあ
[27:51 --> 27:53]: こいつでね
[27:53 --> 27:54]: こいつで
[27:54 --> 27:55]: うん
[27:55 --> 28:02]: もうちょいポインターをこっちにずらしたいので、こっちにしてもらって
[28:02 --> 28:03]: はい
[28:03 --> 28:08]: こっちにしてもらっても大丈夫ってなかなか大丈夫だから、気づけないんで
[28:08 --> 28:09]: どうせ、こうやってエスプレッソの yemを
[28:09 --> 28:13]: 劣化していけば、エスプレッソの inclusiveで日出しするね
[28:13 --> 28:15]: レシーブが動いてる、え?
[28:15 --> 28:30]: ブーブーフック1他に Harmony
[28:30 --> 28:32]: それ 生活合う
[28:32 --> 28:33]: 最高
[28:33 --> 28:36]: そんなことある
[28:36 --> 28:40]: やばかったら止める
[28:40 --> 28:44]: 大丈夫
[28:44 --> 28:47]: あれこれ何やったっけ
[28:47 --> 28:49]: Xと
[28:49 --> 28:50]: 違う
[28:50 --> 28:52]: これ違う
[28:52 --> 28:54]: なんだっけ
[28:54 --> 28:58]: なんか押したらなんかとか言ってたけど
[29:03 --> 29:09]: ズーム
[29:09 --> 29:14]: セッティング
[29:14 --> 29:15]: 違う
[29:15 --> 29:19]: これ
[29:19 --> 29:23]: あ本当だ
[29:23 --> 29:25]: はいはいはい
[29:25 --> 29:27]: ありがとうございます
[29:27 --> 29:30]: ここだよ
[29:33 --> 29:38]: これ反対です
[29:38 --> 29:39]: ごめん間違えてました
[29:39 --> 29:45]: 動かない
[29:45 --> 29:47]: はい大丈夫です
[29:48 --> 29:56]: 次何やるか分かる
[29:56 --> 30:00]: 次は
[30:00 --> 30:05]: ちょっと分かんないな
[30:05 --> 30:07]: ポインターがあそこにあるじゃないですか
[30:07 --> 30:10]: それを右上に持ってきまして
[30:10 --> 30:11]: 持っていた後に
[30:11 --> 30:13]: こいつを切り出すところを
[30:13 --> 30:14]: そのポインターの部分に持っていきたい
[30:14 --> 30:16]: あー
[30:16 --> 30:17]: あーに
[30:17 --> 30:24]: なんか
[30:24 --> 30:27]: なんかやったの覚えてるんだよ
[30:27 --> 30:28]: なんか
[30:28 --> 30:30]: なんかやったの覚えてるんだよ
[30:30 --> 30:38]: なんかあれだねこれをさ
[30:38 --> 30:40]: これやってさ
[30:40 --> 30:44]: この前にもうちょっと手前に持ってきますね
[30:44 --> 30:46]: 結構ギリギリなんで
[30:46 --> 30:47]: 手前に持ってくるの
[30:47 --> 30:49]: 下側と向き左側行って
[30:49 --> 30:51]: ポインターの位置を
[30:51 --> 30:52]: あれのね
[30:52 --> 30:54]: ギリギリなんで
[30:54 --> 30:55]: あっそういうことか
[30:55 --> 30:58]: そうなんか言ってたね
[30:58 --> 30:59]: この
[30:59 --> 31:00]: このポインターの位置を
[31:00 --> 31:03]: この辺り
[31:03 --> 31:04]: まあまあまあ
[31:04 --> 31:05]: 良さそう
[31:05 --> 31:06]: ちょい下か
[31:06 --> 31:07]: で刺さってもいい
[31:07 --> 31:12]: はい
[31:12 --> 31:15]: で
[31:15 --> 31:17]: こんな感じだとして
[31:17 --> 31:20]: で
[31:20 --> 31:25]: 何を押すんだっけ
